inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
LMLXNRYGWLSELC-UHFFFAOYSA-N,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3cc(F)ccc3Cl)CC2)nn1,6.71669877129645,1,0.0,2013,2013,2013,IC50,B,1
PWCLVFVMJUISEY-UHFFFAOYSA-N,O=C(Nc1ccc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1)OCc1ccccc1,6.714442690992226,1,0.0,2009,2009,2009,IC50,B,1
SZITYMXJWRJBEU-UHFFFAOYSA-N,Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1ccc(F)cc1,6.7121982700697735,1,0.0,2014,2014,2014,IC50,B,1
QGCICRMMUPZJRA-UHFFFAOYSA-N,Cc1cnc(CNC(=O)c2sc(-n3cnn(Cc4ccc(F)cc4)c3=O)nc2C)cn1,6.7121982700697735,1,0.0,2015,2015,2015,IC50,B,1
ZERZCVLKYUFIRW-UHFFFAOYSA-N,NC(=O)c1nnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)o1,6.701146923590294,1,0.0,2010,2010,2010,IC50,B,1
PXHWOKWXJFVBQI-UHFFFAOYSA-N,Cn1cc(Cl)nc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)c1=O,6.698970004336019,1,0.0,2015,2015,2015,IC50,B,1
IQUTVVVWNVSYSB-UHFFFAOYSA-N,Cn1cc(Cl)nc(N2CCC(Oc3cc(C(F)(F)F)ccc3Cl)CC2)c1=O,6.698970004336019,1,0.0,2015,2015,2015,IC50,B,1
QVTWHNBICUCVNZ-UHFFFAOYSA-N,Cn1nccc(N2CCC(Oc3cc(C(F)(F)F)ccc3Cl)CC2)c1=O,6.698970004336019,1,0.0,2015,2015,2015,IC50,B,1
SXCZVZBSIYFIES-UHFFFAOYSA-N,O=C(O)c1cncc(-c2ccc(N3CCC(Oc4cc(F)ccc4Br)CC3)nn2)c1,6.6872923239227955,2,2.075513451589662,2011,2011,2011,IC50,B,1
CYBBWKSWIOYLKW-UHFFFAOYSA-N,COc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccn4)cc3)sc2c1,6.678273661756906,2,1.3849445140061942,2020,2020,2020,IC50,A;B,1
