inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
ZKWZUVGPRUXMER-UHFFFAOYSA-N,COc1cc2c3c(c1OC)-c1cc(NC(C)=O)ccc1CC3N(C)CC2,6.009661145212398,1,0.0,2020,2020,2020,Ki,B,1
XIDCICLXZSWQGO-WUFINQPMSA-N,CCCN(CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1)[C@@H]1C[C@H]1c1ccc(Cl)cc1,6.009661145212398,1,0.0,2023,2023,2023,Ki,B,1
AYLLMRKBBYQUGB-UHFFFAOYSA-N,O=S1(=O)Cc2ccccc2N1CCCN1CCN(Cc2ccc(Cl)cc2)CC1,6.009217308196862,1,0.0,2002,2002,2002,Ki,B,1
WZKDDXSAKSUASX-UHFFFAOYSA-N,COc1ccc2c(c1)C(CCCN1CCN(c3ccc(Cl)cc3)CC1)CCC2,6.008773924307505,1,0.0,2000,2000,2000,Ki,B,1
QXWNESOGWFJDFR-RHSMWYFYSA-N,Fc1ccc(OC[C@@H]2CC[C@@H]3CN(c4ncc(F)cn4)CCN3C2)cc1,6.008773924307505,1,0.0,1998,1998,1998,Ki,B,1
JJEJCAOIJWQBMJ-FQEVSTJZSA-N,O=C(N[C@H]1CCN(Cc2ccccc2)C1)c1ccc(-c2cccs2)cc1,6.008773924307505,2,0.0,2004,2005,2004,Ki,B,2
DMJWENQHWZZWDF-PKOBYXMFSA-N,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,6.008773924307505,3,0.059002662637352536,2010,2020,2010,Ki,B,3
BOUDGQUEAMMTAE-UHFFFAOYSA-N,CCCCn1cc(CCCOc2ccc(C(=O)NCCCCN(CCC)CCc3ccc(O)c4[nH]c(=O)ccc34)cc2OC)nn1,6.008773924307505,7,0.9569176359605244,2015,2015,2015,EC50;Ki,B;F,1
GFIWVFPRSFCUJU-PAVFIEEWSA-N,Cc1nnc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)o1,6.008773924307505,1,0.0,2023,2023,2023,Ki,B,1
LJPDJGGEVPZFMY-UHFFFAOYSA-N,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(S(=O)(=O)c4ccccc4)CC3)CC2)cc(C(F)(F)F)n1,6.008330992620051,2,0.0,2017,2018,2017,Ki,B,2
QBCMAEWHGOHJTN-UHFFFAOYSA-N,O=C(c1cc2ccccc2[nH]1)N1CCN(CCOc2ccccc2)CC1,6.0081868564377325,4,0.30421666661249164,2020,2023,2021,EC50;IC50,A;B,2
ZOXQOLDAOFYVMZ-UHFFFAOYSA-N,C=CCN1CCC2c3cccc(C#N)c3CCC21,6.007004901568658,1,0.0,1994,1994,1994,Ki,B,1
VQEFMIATWHWTNX-ZDUSSCGKSA-N,CCCN(CCC)[C@H]1CCn2c(C#N)ccc2C1,6.006838111474617,4,0.9064384560039727,2005,2005,2005,Ki,B,1
JYEKEEYIUIJIPG-UHFFFAOYSA-N,O=C(CCCCCN1CCN(c2ccccc2O)CC1)NC1CCCc2ccccc21,6.005682847330363,1,0.0,2007,2007,2007,Ki,B,1
NXIPJCMKQNCCQK-UHFFFAOYSA-N,Oc1cccc(C(CCNCCCCN2CCN(c3ccccc3)CC2)c2cccc(O)c2)c1,6.005682847330363,1,0.0,2021,2021,2021,Ki,B,1
JNODQFNWMXFMEV-UHFFFAOYSA-N,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,6.005148679748544,2,0.27555879482095097,2010,2024,2017,Ki,B,2
CKIPXVNSJRXNTQ-UHFFFAOYSA-N,CCCCCCNC(=O)/N=C(\N)NCCCc1sc(N)nc1C,6.00500061527739,2,0.3464829000128427,2021,2021,2021,EC50;Ki,B;F,1
PNCPYILNMDWPEY-QGZVFWFLSA-N,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,6.004746625923177,1,0.0,2024,2024,2024,Ki,B,1
ZJQAMIJDWJOQRB-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCCOc2ccn3nc(C#N)cc3c2)CC1,6.0043869621537524,6,1.0312645117552723,2017,2017,2017,EC50;Ki,B;F,1
KTLWNSMULUTOGN-UHFFFAOYSA-N,c1ccc2c(c1)CN(CCCCc1nc3ccccc3s1)C2,6.00436480540245,1,0.0,2012,2012,2012,Ki,B,1
MXKOYALXZMWGCQ-UHFFFAOYSA-N,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(C(c4ccccc4)c4ccc(Cl)cc4)CC3)CC2)cc(C(F)(F)F)n1,6.00436480540245,2,0.0,2017,2018,2017,Ki,B,2
ZERNPQRYLXBKKZ-XUTJKUGGSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4sccc34)CC2)CC1)C1CCOCC1,6.0034883278458215,1,0.0,2013,2013,2013,Ki,B,1
OXKMARLXXNQVMY-CTNGQTDRSA-N,CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)C[C@H]1C[C@@H]1c1cccc(Cl)c1Cl,6.0034883278458215,1,0.0,2020,2020,2020,Ki,B,1
WZTYACMHNKRTAE-UHFFFAOYSA-N,Cc1nc2c(o1)CCN(CCN1CCN(c3nsc4ccccc34)CC1)C2=O,6.0030507515046185,2,0.0,2020,2022,2021,Ki,B,2
GWAVQBXUVNSXRO-UHFFFAOYSA-N,COc1ccc2c(c1)CN(C(=O)NCCCCN1CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC1)C2,6.002613615602687,2,0.0,2017,2018,2017,Ki,B,2
QIVGZELWYADNGV-ZBJSNUHESA-N,CO/N=C(\c1ccc(Cl)cc1)C(O)CN1CCN(c2ccccn2)CC1,6.002176919254275,1,0.0,2006,2006,2006,Ki,B,1
IBGMJKNDQYWIAZ-UHFFFAOYSA-N,COc1c(C(=O)NCCN2CCN(c3ccc(C)cc3)CC2)cc(Br)c2ccccc12,6.001740661576301,1,0.0,1996,1996,1996,Ki,B,1
WRBKFBAHOMAFKJ-WGSAOQKQSA-N,CCOCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,6.001740661576301,1,0.0,2013,2013,2013,Ki,B,1
JJZFWROHYSMCMU-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1,6.001304841688344,2,0.0,2018,2021,2019,Ki,A;B,2
PRDAXZPQPYWOJJ-UHFFFAOYSA-N,CC(C)N1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccccc3Cl)c3ccccc32)CC1,6.000869458712629,1,0.0,2006,2006,2006,Ki,B,1
YUXGGLCIOFCGBA-UHFFFAOYSA-N,[O-][S+](CCCN1CCC(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.000869458712629,1,0.0,2012,2012,2012,Ki,B,1
MNHUYGGZIREYSK-UHFFFAOYSA-N,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(C(=O)c4ccccc4)CC3)CC2)cc(C(F)(F)F)n1,6.000869458712629,2,0.0,2017,2018,2017,Ki,B,2
SWYRWYLIJXJVNV-HCGLCNNCSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(N2CCOCC2)nc1,6.000695427661651,1,0.0,2013,2013,2013,Ki,B,1
KLTVYCHNHMTZNG-WGSAOQKQSA-N,CC(C)(O)CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,6.000130307891732,1,0.0,2013,2013,2013,Ki,B,1
OJCBIYVJAWOBLI-XBISEHGESA-N,COc1cccc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3Cc4ccc(C#N)cc4C3)CC2)c1,6.0,1,0.0,2001,2001,2001,Ki,B,1
TWPGFOWTCCVBGS-VMPREFPWSA-N,CS(=O)(=O)Oc1ccc2c(c1)CC[C@H]1[C@H]2CCN1CCCCNC(=O)c1ccc(-c2ccccc2)cc1,6.0,1,0.0,1998,1998,1998,Ki,B,1
RHNRGRRBWOZBRT-UHFFFAOYSA-N,CCCN(CCC)C1CCc2cc(CCc3ccc(C(C)=O)cc3)ccc2C1,6.0,1,0.0,1996,1996,1996,Ki,B,1
ISTZGGNVALEGHJ-CILPGNKCSA-N,CCCN(CCC)[C@@H]1CCc2c(ccc(C(O)Cc3ccccc3)c2OC)C1,6.0,1,0.0,1996,1996,1996,Ki,B,1
MXXYXEAKIQRROV-UHFFFAOYSA-N,Fc1ccc(CCN2CCC3(CCc4ccccc4C3)CC2)c(F)c1,6.0,1,0.0,2002,2002,2002,Ki,B,1
BYFGXTUYWNOQIF-UHFFFAOYSA-N,NC(=O)c1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,6.0,1,0.0,2002,2002,2002,Ki,B,1
QOUVFTQPYVSKEQ-QILAJZQNSA-N,c1ccc(CCN2[C@@H]3CC[C@H]2CC(c2c(-c4ccccc4)[nH]c4ccccc24)C3)cc1,6.0,1,0.0,2001,2001,2001,Ki,B,1
IFIIHJSXBMXLER-QGZVFWFLSA-N,C[C@@H]1Cc2ccccc2N1C(=O)CN1CCN(Cc2cccc(F)c2)CC1,6.0,1,0.0,2002,2002,2002,Ki,B,1
OQCUZRRTKCFWET-OAHLLOKOSA-N,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1,6.0,1,0.0,2000,2000,2000,Ki,B,1
YFRPYRGBQBMLTB-XYOKQWHBSA-N,O=C(/C=C/c1ccc2ccccc2c1)NCCCCN1CCc2ccc(OS(=O)(=O)C(F)(F)F)cc2C1,6.0,1,0.0,1999,1999,1999,Ki,B,1
OWKPSSGANQPLEI-UHFFFAOYSA-N,O=C1c2ccccc2CCC1C1CCN(Cc2ccccc2)CC1,6.0,1,0.0,1994,1994,1994,Ki,B,1
JTAWXZPSQGLYQG-UHFFFAOYSA-N,Cc1cc(C(=O)NCCCCN2CCc3ccc(OS(=O)(=O)C(F)(F)F)cc3C2)ccc1-c1ccccc1,6.0,1,0.0,1999,1999,1999,Ki,B,1
SWVCTRVZUDUHBL-QGZVFWFLSA-N,COc1cccc2c1-c1cccc3c1[C@@H](C2)N(C(C)C)CC3,6.0,1,0.0,1996,1996,1996,Ki,B,1
UFWPYANZTHOAEN-UHFFFAOYSA-N,CC1(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)CCCCC1,6.0,1,0.0,1996,1996,1996,Ki,B,1
NIDNSGGKXKJNLV-UHFFFAOYSA-N,CCC(C)(C)C(=O)NCCCCN1CCN(c2ccc(Cl)cc2)CC1,6.0,1,0.0,1996,1996,1996,Ki,B,1
AZJRPMAIBIEISW-TZMCWYRMSA-N,c1c2c(cc3c1CC[C@H]1NCCO[C@H]31)OCC2,6.0,1,0.0,1997,1997,1997,Ki,B,1
