inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
KKAOSLVZYZWJBY-ONEGZZNKSA-N,C/C=C/c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCN(C)CC2)n1,7.537602002101044,1,0.0,2013,2013,2013,IC50,B,1
BEZICALLUMKYOA-UHFFFAOYSA-N,CN1CCC(COCc2cc(C(F)(F)F)cc(N3CCC(C#N)C3)n2)(c2ccc(F)cc2)CC1,7.537602002101044,1,0.0,2013,2013,2013,IC50,B,1
APJYAVYSAZEVQB-UHFFFAOYSA-N,Fc1ccc(C2(COCc3cc(C(F)(F)F)cc(Cl)n3)CCNCC2)cc1,7.537602002101044,1,0.0,2013,2013,2013,IC50,B,1
DXCJHMJLWTYOCC-WEZIJMHWSA-N,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)[C@@H]1CCCN1/C(S)=N/Cc1ccccc1Cl)C(c1ccccc1)c1ccccc1,7.531652669587842,1,0.0,1998,1998,1998,Ki,B,1
QEKNOTIEZRQEFJ-SVBPBHIXSA-N,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1/C(S)=N/Cc1ccccc1Br,7.527243550682788,1,0.0,1998,1998,1998,Ki,B,1
IPBIPGMDYKXPNL-SVBPBHIXSA-N,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1/C(S)=N/Cc1ccccc1Cl,7.52432881167557,1,0.0,1998,1998,1998,Ki,B,1
RVQWQAUTXDWGGP-UHFFFAOYSA-N,Cn1c(-c2ccc(Cl)cc2)c(CCC(=O)N2CCN(CC(=O)Nc3ccccc3)CC2)c2cc(Cl)ccc21,7.522878745280337,1,0.0,2001,2001,2001,IC50,B,1
NYSHXYQZVIXQLS-UHFFFAOYSA-N,O=C(CN(NC1CCN(Cc2ccccc2)CC1)NC1CCN(Cc2ccccc2)CC1)N1CCN(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1c1ccc(Cl)c(Cl)c1,7.522878745280337,1,0.0,2002,2002,2002,Ki,B,1
UOKDYNBXNQDFQD-UHFFFAOYSA-N,CC(N)(COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1,7.522878745280337,1,0.0,1995,1995,1995,IC50,B,1
MGGPIJOHTZSPND-UGNHXKFCSA-N,Fc1ccc([C@@H]2NCCOC23COC[C@H](c2cccc(C(F)(F)F)c2)C3)cc1,7.522878745280337,1,0.0,2002,2002,2002,IC50,B,1
DAPDEQPNIOMAKI-IBGZPJMESA-N,CC(=O)N[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)OCc1cc(C)cc(C)c1,7.522878745280337,1,0.0,1994,1994,1994,IC50,B,1
KDLUBXVKFJCDHI-NRXDVHJQSA-N,Cc1cc(C)cc(C(=O)N2CCC(NCc3ccnc4ccccc34)CC2[C@H](C)c2ccccc2)c1,7.522878745280337,1,0.0,1997,1997,1997,IC50,B,1
UWXIKPYBYHAWLS-UHFFFAOYSA-N,COc1ccccc1CN(C)C(=O)c1c(-c2ccccc2)c2ccccc2c(=O)n1C,7.522878745280337,1,0.0,1995,1995,1995,IC50,B,1
SVJLECBANPOFKI-QCFMCPCVSA-N,CO/N=C(\COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCNCC1)c1ccc(Cl)c(Cl)c1,7.522878745280337,1,0.0,2000,2000,2000,Ki,B,1
FTFGWRNMMHQZBL-UHFFFAOYSA-N,COc1ccc(OC)c(S(=O)(=O)N2CCC3(CC2)C2C(=O)N(c4ccccc4)C(=O)C2CN3C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,7.51999305704285,1,0.0,2002,2002,2002,Ki,B,1
KDLUBXVKFJCDHI-JWZRJXMASA-N,Cc1cc(C)cc(C(=O)N2CC[C@H](NCc3ccnc4ccccc34)C[C@H]2[C@H](C)c2ccccc2)c1,7.51999305704285,1,0.0,1998,1998,1998,IC50,B,1
XVXLZWKAPZUIGE-UHFFFAOYSA-N,O=C1COc2ccc(S(=O)(=O)N3CCC4(CC3)C3C(=O)N(c5ccccc5)C(=O)C3CN4C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2N1,7.510041520575165,1,0.0,2002,2002,2002,Ki,B,1
NUMJKLJZURQQJJ-UHFFFAOYSA-N,C=CCC1(Cc2c[nH]c3ccccc23)OC(=O)N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1=O,7.508638306165727,1,0.0,1995,1995,1995,IC50,B,1
MTESWQRTXYKYRE-UHFFFAOYSA-N,COc1ccccc1N1CCN(C(=O)CCc2c(-c3ccc(Cl)cc3)[nH]c3ccccc23)CC1,7.508638306165727,1,0.0,2001,2001,2001,IC50,B,1
GMYFUYINKONEKD-UHFFFAOYSA-N,COC(=O)CN(Cc1ccccc1OC)CC(Cc1c[nH]c2ccccc12)NC(=O)CN1CCN(c2ccccc2)CC1,7.508638306165727,1,0.0,1996,1996,1996,IC50,B,1
IPQSEKMUUNQIQD-UHFFFAOYSA-N,COc1ccc(C2(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C2)cc1OC,7.508638306165727,1,0.0,2005,2005,2005,IC50,B,1
HRNKBAZAWCPGGM-UHFFFAOYSA-N,COc1cccc(CN2CCC(=O)C(C(c3ccc(F)cc3)c3ccc(F)cc3)C2)c1,7.508638306165727,1,0.0,2011,2011,2011,IC50,B,1
ISKBUGHVJHBDHX-LHEWISCISA-N,O=C(COCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.508638306165727,1,0.0,2011,2011,2011,Ki,B,1
OGWFIIQUFKCEMC-MOPGFXCFSA-N,N[C@@H]1CC[C@](COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)C1,7.508638306165727,1,0.0,2014,2014,2014,IC50,B,1
NZUGQDNKOUVIOO-UHFFFAOYSA-N,C=Cc1ccc(C(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)N2CCNCC2)cc1C=C,7.50003813440381,1,0.0,2003,2003,2003,Ki,B,1
PPOUETANRCKMLN-UHFFFAOYSA-N,O=C(COc1cc(C(F)(F)F)cc(C(F)(F)F)c1)N(c1ccc(Cl)c(Cl)c1)C1CCNCC1,7.50003813440381,1,0.0,2002,2002,2002,IC50,B,1
WCRJVNAJGCBJAA-UHFFFAOYSA-N,O=C(CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)N(Cc1ccc(F)cc1)C1CCNCC1,7.50003813440381,1,0.0,2002,2002,2002,IC50,B,1
IFJMTNVCZPSLCI-UHFFFAOYSA-N,CC1c2ccccc2NC(=O)CN1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.50003813440381,1,0.0,1997,1997,1997,Ki,B,1
GXKBHFYZTAQYCX-ANHUGMMASA-N,CN1C(=O)OC2(CCN(CC[C@@](C)(C(=O)N[C@H](Cc3ccccc3)C(=O)NCCO)c3ccc(Cl)c(Cl)c3)CC2)c2cc(F)ccc21,7.50003813440381,1,0.0,2014,2014,2014,Ki,B,1
