inchikey,year,standard_type,pAct
DBALZNPBWHMHOG-UHFFFAOYSA-N,2010,IC50,7.481486
DCEDEPBBCBNGEX-INIZCTEOSA-N,2021,IC50,4.429924
DCYUBWJTTVATCA-UHFFFAOYSA-N,2015,IC50,8.096910
DDSXQYZPRHWCRJ-UHFFFAOYSA-N,2009,IC50,7.397940
DDXUZSUWYQGZES-UHFFFAOYSA-N,2009,IC50,9.522879
DDXUZSUWYQGZES-UHFFFAOYSA-N,2009,IC50,9.698970
DDXUZSUWYQGZES-UHFFFAOYSA-N,2009,IC50,7.585027
DELDTQNVQWISSR-UHFFFAOYSA-N,2018,IC50,8.091515
DFAAZTGEFUDAJO-UHFFFAOYSA-N,2014,IC50,7.292430
DFAAZTGEFUDAJO-UHFFFAOYSA-N,2015,IC50,8.045757
DHCNUSNZEUSTQC-UHFFFAOYSA-N,2018,IC50,7.337242
DHDJNNHNXWAWLB-RDJZCZTQSA-N,2021,IC50,4.522589
DHPPBCAZAYICNH-UHFFFAOYSA-N,2018,IC50,8.193820
DIIHHZJGTKSBTH-UHFFFAOYSA-N,2014,IC50,6.106238
DIPVPFWFBPWNMR-UHFFFAOYSA-N,2014,IC50,7.585027
DJZYVEWBADVRAW-UHFFFAOYSA-N,2007,IC50,6.958607
DKACSJZPBDPRDC-UHFFFAOYSA-N,2013,IC50,6.906578
DKGNKHDWCRDQSE-UHFFFAOYSA-N,2021,IC50,4.492414
DKUXIOHAIPEDEC-UHFFFAOYSA-N,2021,IC50,6.062482
DLPFHBFBUBWLBM-UHFFFAOYSA-N,2010,IC50,6.728158
DLPFHBFBUBWLBM-UHFFFAOYSA-N,2010,IC50,6.841638
DMXFJXOYVJXHHZ-UHFFFAOYSA-N,2010,IC50,7.187087
DNARJMCQHANYMK-UHFFFAOYSA-N,2021,IC50,6.920819
DNCKPUTVTXBQDJ-UHFFFAOYSA-N,2015,IC50,9.000000
DPGSBSKZDLWRDN-UHFFFAOYSA-N,2014,IC50,8.221849
DPSNXTLWYRQDPJ-UHFFFAOYSA-N,2021,IC50,5.050610
DPUBIAZLOIDPEP-UHFFFAOYSA-N,2010,IC50,7.619789
DQJQOFFCCSGWRM-UHFFFAOYSA-N,2014,IC50,7.200659
DSIPXIRVDZIXGR-UHFFFAOYSA-N,2015,IC50,6.954677
DURSMDCRSLJCTD-UHFFFAOYSA-N,2007,IC50,6.366532
DUSOQMDRYWOWPW-UHFFFAOYSA-N,2010,IC50,7.769551
DUSOQMDRYWOWPW-UHFFFAOYSA-N,2010,IC50,6.804100
DWEAHHDJPAAPFY-UHFFFAOYSA-N,2014,IC50,6.617983
DWEAHHDJPAAPFY-UHFFFAOYSA-N,2015,IC50,6.374688
DWXRGOPEKBFEDL-UHFFFAOYSA-N,2020,IC50,6.214670
DWXRGOPEKBFEDL-UHFFFAOYSA-N,2020,IC50,5.161151
DXJDBXBFXWUNBP-UHFFFAOYSA-N,2010,IC50,7.356547
DXJDBXBFXWUNBP-UHFFFAOYSA-N,2010,IC50,7.602060
DXKNEJDCEJAZNA-UHFFFAOYSA-N,2007,IC50,7.455932
DYEGEEMFKJLIAG-UHFFFAOYSA-N,2009,IC50,7.086186
DYEGEEMFKJLIAG-UHFFFAOYSA-N,2009,IC50,6.194499
DZBMZRDZHLMPON-UHFFFAOYSA-N,2015,IC50,7.022276
DZHVRSUZJWSLFJ-UHFFFAOYSA-N,2020,IC50,5.107905
DZHVRSUZJWSLFJ-UHFFFAOYSA-N,2020,IC50,4.795880
DZQSFRXJJGQWBU-UHFFFAOYSA-N,2014,IC50,6.718967
DZTRHLLXMPGXQW-UHFFFAOYSA-N,2018,IC50,8.494850
FAIXKYSRYKWWGK-UHFFFAOYSA-N,2015,IC50,6.987163
FBMGHVBJNLZMPL-UHFFFAOYSA-N,2021,IC50,5.377786
FCAOGGRCLJBQPX-UHFFFAOYSA-N,2021,IC50,4.645315
FCERPQDQSVNERQ-UHFFFAOYSA-N,2015,IC50,6.149967
FCKLYWUQEVLIRI-UHFFFAOYSA-N,2010,IC50,7.721246
FCNRROILAPCDRL-UHFFFAOYSA-N,2014,IC50,6.170696
FESSLFCHRGAANQ-UHFFFAOYSA-N,2020,IC50,5.958607
FFLACNAXGFCCBT-UHFFFAOYSA-N,2010,IC50,6.636388
FIZCCWBKEBQQRZ-UHFFFAOYSA-N,2021,IC50,4.410050
FLTDSTBWKYBFSI-UHFFFAOYSA-N,2020,IC50,5.236572
FLTDSTBWKYBFSI-UHFFFAOYSA-N,2020,IC50,5.301030
FLXHAQHFIIRCBF-UHFFFAOYSA-N,2017,IC50,7.096910
FMHBOXDGWUJYGP-UHFFFAOYSA-N,2010,IC50,5.633390
FMHWXCNTRYPHIZ-UHFFFAOYSA-N,2009,IC50,8.017729
FMUOWTCJDBKUJN-UHFFFAOYSA-N,2015,IC50,7.769551
FNDFGNMCQOJEDG-UHFFFAOYSA-N,2020,IC50,6.508638
FNDFGNMCQOJEDG-UHFFFAOYSA-N,2020,IC50,4.677781
FNFMYRSHPYAHHV-UHFFFAOYSA-N,2014,IC50,6.869666
