inchikey,year,standard_type,pAct
AFWAVLNIGSUCHI-HNNXBMFYSA-N,2016,EC50,6.769551
AFWAVLNIGSUCHI-OAHLLOKOSA-N,2016,Ki,6.455932
AFWAVLNIGSUCHI-OAHLLOKOSA-N,2016,Ki,6.698970
AFYFGCAEDGKSJG-UHFFFAOYSA-N,2010,Ki,6.399997
AFYGMVTVTLNALM-UHFFFAOYSA-N,2012,Ki,7.173925
AFZSMODLJJCVPP-UHFFFAOYSA-N,,IC50,5.231658
AFZSMODLJJCVPP-UHFFFAOYSA-N,,Ki,5.708853
AGAHNABIDCTLHW-UHFFFAOYSA-N,2019,Kd,9.019997
AGAHNABIDCTLHW-UHFFFAOYSA-N,2019,Ki,9.140022
AGDJOXPUTNYCLH-UHFFFAOYSA-N,2020,Ki,5.898941
AGMWTWZTMQSDHF-UHFFFAOYSA-N,2006,Ki,5.086186
AGMWTWZTMQSDHF-UHFFFAOYSA-N,2006,Ki,4.920819
AGPVWRLINFFKSF-UHFFFAOYSA-N,2016,Ki,5.100000
AGPVWRLINFFKSF-UHFFFAOYSA-N,2020,Ki,5.059982
AGQAAIRBRCRFGB-UHFFFAOYSA-N,1996,Ki,5.200000
AGUIOVNIFLIHLU-UHFFFAOYSA-N,2021,Ki,6.376751
AGUZAIMBKPZTGP-UHFFFAOYSA-N,2005,Ki,7.769551
AGUZAIMBKPZTGP-UHFFFAOYSA-N,2005,Ki,7.744727
AGVJHFPAJUYTNV-UHFFFAOYSA-N,2018,IC50,7.229148
AGVNHDNTFYHZNL-QGZVFWFLSA-N,1998,Ki,5.400000
AGVNHDNTFYHZNL-QGZVFWFLSA-N,2001,Ki,5.400008
AGZPZBJIQLGGOQ-UHFFFAOYSA-N,2007,Ki,7.924453
AGZZUNBFSOFXTB-JIBACQESSA-N,2014,Ki,5.954200
AHCLBNDBOQTPGQ-HNNXBMFYSA-N,2000,Ki,7.920819
AHCLBNDBOQTPGQ-OAHLLOKOSA-N,2000,Ki,6.200659
AHJHJVULSVKBEA-KDURUIRLSA-N,2017,Ki,8.920819
AHJHJVULSVKBEA-KDURUIRLSA-N,2017,Ki,8.920819
AHJHJVULSVKBEA-WGSAOQKQSA-N,2016,Ki,9.721246
AHJHJVULSVKBEA-WGSAOQKQSA-N,2017,Ki,9.721246
AHJHJVULSVKBEA-WGSAOQKQSA-N,2017,Ki,9.721246
AHSLTJCTFBJCMT-CQSZACIVSA-N,1994,Ki,6.716699
AHVVCJSEQJZGNV-UHFFFAOYSA-N,1999,Ki,6.508638
AHYUXDAZVIOABZ-UHFFFAOYSA-N,1997,Ki,6.284833
AHZQKSCHGGUEEP-UHFFFAOYSA-N,2020,Ki,4.310487
AHZQKSCHGGUEEP-UHFFFAOYSA-N,2022,Ki,4.310487
AIANRSPJEBRESY-UHFFFAOYSA-N,2017,Ki,5.244125
AIBSVCNXTNBLRF-NRFANRHFSA-N,2009,Ki,5.884057
AIBTZGIRNIYBBE-OWOJBTEDSA-N,2017,EC50,6.832683
AICFPAVUBCPJDG-SAABIXHNSA-N,2013,Ki,6.638839
AIDTVWDAJAVXLC-AATRIKPKSA-N,2011,Ki,7.239578
AIEYTUOHPYHFSW-UHFFFAOYSA-N,2020,EC50,6.209715
AIEYTUOHPYHFSW-UHFFFAOYSA-N,2023,EC50,6.209715
AIEYTUOHPYHFSW-UHFFFAOYSA-N,2023,EC50,6.209715
AIFZEYXRSJHTOL-UHFFFAOYSA-N,2019,Ki,6.136677
AIFZEYXRSJHTOL-UHFFFAOYSA-N,2019,Ki,6.283997
AIJCIPNKOAOKBN-UHFFFAOYSA-N,2010,Ki,7.632644
AIJIQCBYMBZLJD-UHFFFAOYSA-N,2001,Ki,6.677781
AIPVMDNBQLPSHM-UHFFFAOYSA-N,2001,Ki,9.387216
AIXGSHLFBFGRFX-SKQKWFJKSA-N,2019,Ki,9.075721
AIXVGZUOFPCOMV-IXCJQBJRSA-N,1998,Ki,6.199998
AIXVGZUOFPCOMV-XCZPVHLTSA-N,1998,Ki,7.599980
AIXVGZUOFPCOMV-XCZPVHLTSA-N,2003,Ki,7.602060
AIYDXOYEOAYSGJ-MJGBDJQUSA-N,2021,Ki,7.500313
AIYKVNCJQXICKY-UHFFFAOYSA-N,2021,Ki,6.721246
AIZGIAFIDZOQAS-LBPRGKRZSA-N,2010,IC50,7.720105
AJADIMFRRRXJAI-UHFFFAOYSA-N,2019,Ki,5.478862
AJADIMFRRRXJAI-UHFFFAOYSA-N,2019,EC50,6.117475
AJADIMFRRRXJAI-UHFFFAOYSA-N,2019,EC50,4.582113
AJADIMFRRRXJAI-UHFFFAOYSA-N,2019,IC50,4.795609
AJBIIZLEMNVANQ-CTNGQTDRSA-N,2022,IC50,5.026872
AJCBTMQLMBVUBO-UHFFFAOYSA-N,2019,IC50,7.098542
AJEFZZSQDFYANV-UHFFFAOYSA-N,2020,Ki,7.890084
AJEQJTPMMJPNLR-GHTZIAJQSA-N,2019,Ki,6.540608
AJEQJTPMMJPNLR-GHTZIAJQSA-N,2020,Ki,6.540608
AJEQJTPMMJPNLR-NQIIRXRSSA-N,2019,Ki,5.880085
AJEQJTPMMJPNLR-NQIIRXRSSA-N,2020,Ki,5.880085
AJEQJTPMMJPNLR-UHFFFAOYSA-N,2016,Ki,6.599998
AJEQJTPMMJPNLR-UHFFFAOYSA-N,2016,Ki,6.199998
AJEQJTPMMJPNLR-UHFFFAOYSA-N,2016,Ki,6.599998
AJESKKMIWNWSBT-UHFFFAOYSA-N,2010,Ki,9.065502
AJHTXXXNOZVOOI-HSZRJFAPSA-N,1996,Ki,7.000000
AJIGPZIDDACLTM-UHFFFAOYSA-N,2014,Ki,6.795880
AJIGSTIZSNHTOD-UHFFFAOYSA-N,2019,IC50,6.721246
AJKCXWJAJVDPNV-UYAOXDASSA-N,2000,IC50,7.167491
AJKOTVCMUKNUGM-UHFFFAOYSA-N,2016,Ki,6.069051
AJKOTVCMUKNUGM-UHFFFAOYSA-N,2016,Ki,6.069999
AJKWTVBJXNYTPH-FVUUGDKNSA-N,2023,Ki,6.113509
AJMKQHBCAXBYKM-IBGZPJMESA-N,2018,Ki,5.168322
AJMVNIXLWRBDLU-CQSZACIVSA-N,1993,Ki,6.667562
AJNIRLYKPAIXJT-UHFFFAOYSA-N,2015,Ki,7.330683
AJNRYBGLAQDAEO-DYVFJYSZSA-N,2010,Ki,6.000000
AJQHTFDOWXUHQW-UHFFFAOYSA-N,2007,Ki,7.136677
AJRQMVCEFKRUBB-UHFFFAOYSA-N,2012,Ki,7.619789
AJVZNDDUZGAVJT-FQEVSTJZSA-N,2011,IC50,5.599999
