inchikey,year,standard_type,pAct
ATNGEEUVTIJBQN-QGYSTOEISA-N,2010,IC50,8.744727
ATNGEEUVTIJBQN-QGYSTOEISA-N,2010,IC50,7.275724
ATSBEQRAHBGVJJ-UHFFFAOYSA-N,1997,Ki,6.000000
ATUPAULHDXBCOY-GBESFXJTSA-N,2006,IC50,8.142668
ATUPAULHDXBCOY-QYZOEREBSA-N,2006,IC50,9.080922
ATXQWPMHZYZGBC-UHFFFAOYSA-N,2013,IC50,6.769551
AUQCRJDJIAOZCU-WUGRJRDASA-N,2001,Ki,7.886057
AVOBUSCWJGQAJM-SVBPBHIXSA-N,1992,IC50,5.723538
AVOBUSCWJGQAJM-SVBPBHIXSA-N,1998,IC50,5.720000
AVTGCBVHVNCGHL-UHFFFAOYSA-N,2000,IC50,8.337242
AWLKNBWKVMBAKT-FDXPNMITSA-N,2008,Ki,7.000000
AWTRYVNHQRRXBP-RPWUZVMVSA-N,2007,IC50,9.102373
AWWGZGHNVPCKFM-UHFFFAOYSA-N,2001,IC50,8.259637
AXBSORLKLUGMEI-OUADDPIDSA-N,2002,Ki,8.721246
AXBSORLKLUGMEI-OUADDPIDSA-N,2019,Ki,8.721246
AXHGMEAMIKHBDC-UHFFFAOYSA-N,1996,IC50,8.346787
AXOFNMUYIHBQIG-HSMZZXILSA-N,2002,Ki,8.886057
AXYVSTYNMWOVHD-WIOPSUGQSA-N,2013,IC50,6.537602
AYAQLUKQULPJEX-UHFFFAOYSA-N,2006,Ki,9.397940
AYDCRUURSWKYHM-SVBPBHIXSA-N,1998,Ki,7.586700
AYTYJTNCCRHYOF-IXCJQBJRSA-N,1998,IC50,6.387216
AYUYKFLBPMUYIU-UHFFFAOYSA-N,2011,Ki,10.100015
AYUYKFLBPMUYIU-UHFFFAOYSA-N,2011,Ki,9.299989
AYUYKFLBPMUYIU-UHFFFAOYSA-N,2011,Ki,9.599980
AYUYKFLBPMUYIU-UHFFFAOYSA-N,2011,Ki,9.500038
AYWZDQSVYRGCLX-DEOSSOPVSA-N,1994,IC50,5.259637
AZCUMNBSXUJQAB-FLASPHMUSA-N,2001,IC50,8.421361
AZDSYYOXSFTNRY-HSZRJFAPSA-N,2002,IC50,9.000000
AZNNPKRJKPDWFO-GOUQPXDXSA-N,1995,IC50,4.055517
AZNNPKRJKPDWFO-WLGONLEPSA-N,1995,IC50,4.267606
BAFNRJAFKSSKNK-UHFFFAOYSA-N,2006,IC50,9.000000
BAWOEXVCFSAHRQ-UHFFFAOYSA-N,1996,IC50,8.494850
BBASVKVVEFLJCU-JVKBCILWSA-N,1997,Ki,8.823909
BBASVKVVEFLJCU-JVKBCILWSA-N,1997,Ki,8.017729
BBCKQZTZCGMHOM-NUYCEAJWSA-N,2006,IC50,9.420216
BBOVGJPWQAJNJG-ROOYGRKUSA-N,1995,IC50,6.356547
